Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Nocardiopsis halotolerans	B	10	10	0	15	Tolerant	s	p	Al-Zarban et al 2002	2002	Nocardiopsis	Nocardiopsidaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacillati
Prauserella aidingensis	B	8	10	5	15	Moderate	s	p	Li et al 2009	2009	Prauserella	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Roseivivax sediminis	B	5	10	1	15	Moderate	s	p	Xiao et al 2012	2012	Roseivivax	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Fodinibius sediminis	B	6	10	4	16	Moderate	s	p	Wang et al 2013 / Galisteo et al 2013	2013	Fodinibius	Balneolaceae	Balneolales	Balneolia	Balneolota	Pseudomonadati
Marinobacter santoriniensis	B	5	10	0,5	16	Moderate	s	p	Handley et al 2009	2009	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Rhodohalobacter halophilus	B	8	10	2	16	Moderate	s	p	Xia et al 2017	2017	Rhodohalobacter	Balneolaceae	Balneolales	Balneolia	Balneolota	Pseudomonadati
Ruania alba	B	7	10	2	16	Moderate	s	p	Tang et al 2010 / Schumann et al 2021	2010	Ruania	Ruaniaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Halomonas pellis	B	10	10	1	17	Moderate	s	p	Li et al 2020	2020	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Melghiribacillus thermohalophilus	B	7	10	0,5	17	Moderate	s	p	Addou et al 2015	2015	Melghiribacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Nocardiopsis endophytica	B	5	10	0	17	No Class	s	p	Chantavorakit et al 2023	2023	Nocardiopsis	Nocardiopsidaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacillati
